Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
An Angel at My Table,Jane Campion,New Zealand,1990,1990s,2:38,"With AN ANGEL AT MY TABLE, Academy Award–winning filmmaker Jane Campion brought to the screen the harrowing autobiography of Janet Frame, New Zealand’s most distinguished author. Three actors in turn take on the lead role (including Kerry Fox in a marvelous performance as the adult Frame), as the film describes a journey from an impoverished childhood marked by tragedy to a misdiagnosis of schizophrenia resulting in electroshock therapy and a narrowly escaped lobotomy to, finally, international literary fame. Unobtrusively capturing the beauty and power of the New Zealand landscape while maintaining the film’s focus on the figure at its center, Campion broke new ground for female filmmakers everywhere and earned a sweep of her country’s film awards, along with the Special Jury Prize at the Venice Film Festival.",2.63,https://www.criterionchannel.com/an-angel-at-my-table,An Angel at My Table 1990,An Angel at My Table 1990,tt0099040,7.5,6750,An Angel at My Table,An Angel at My Table,1990,An Angel at My Table 1990,False
Anna Karenina,Julien Duvivier,United Kingdom,1948,1940s,1:52,"He loves me, he loves me not... Anna Karenina risks her marriage, social standing, and a relationship with her son all for the illicit love of a young cavalry officer. As expected, things get complicated.",1.87,https://www.criterionchannel.com/anna-karenina,Anna Karenina 1948,Anna Karenina 1948,tt0040098,6.7,2471,Anna Karenina,Anna Karenina,1948,Anna Karenina 1948,False
Anne-Marie,Raymond Bernard,France,1936,1930s,1:38,"Raymond Bernard's Anne-Marie was a special movie on several counts -- as a feature film from the 1930's about a young woman who aspires to become a pilot, and as the next-to-last pre-war French film by the star Annabella before she left went to Hollywood. But its special status resides in its screenplay, the sole work in that writing genre by renowned aviator/author Antoine de Saint-Exupery (1900-1944), whose credits also included The Little Prince.",1.63,https://www.criterionchannel.com/anne-marie,Anne-Marie 1936,Anne-Marie 1936,tt0027296,6.0,50,Anne-Marie,Anne-Marie,1936,Anne-Marie 1936,False
Antichrist,Lars von Trier,Denmark,2009,2000s,1:48,"Lars von Trier shook up the film world when he premiered ANTICHRIST at the 2009 Cannes Film Festival. In this graphic psychodrama, a grief-stricken man and woman—a searing Willem Dafoe and Cannes best actress winner Charlotte Gainsbourg—retreat to their cabin deep in the woods after the accidental death of their infant son, only to find terror and violence at the hands of nature and, ultimately, each other. But this most confrontational work yet from one of contemporary cinema’s most controversial artists is no mere provocation. It is a visually sublime, emotionally ravaging journey to the darkest corners of the possessed human mind; a disturbing battle of the sexes that pits rational psychology against age-old superstition; and a profoundly effective horror film.",1.8,https://www.criterionchannel.com/antichrist,Antichrist 2009,Antichrist 2009,tt0870984,6.6,117601,Antichrist,Antichrist,2009,Antichrist 2009,False
Antonio Gaudí,Hiroshi Teshigahara,Japan,1984,1980s,1:12,"Catalan architect Antoni Gaudí (1852–1926) designed some of the world’s most astonishing buildings, interiors, and parks; Japanese director Hiroshi Teshigahara constructed some of the most aesthetically audacious films ever made. In ANTONIO GAUDÍ, their artistry melds in a unique, enthralling cinematic experience. Less a documentary than a visual poem, Teshigahara’s film takes viewers on a tour of Gaudí’s truly spectacular architecture, including his massive, still-unfinished master­piece, the Sagrada Família basilica in Barcelona. With camera work as bold and sensual as the curves of his subject’s organic structures, Teshigahara immortalizes Gaudí on film.",1.2,https://www.criterionchannel.com/antonio-gaudi,Antonio Gaudí 1984,Antonio Gaudí 1984,tt0086907,7.3,1411,Antonio Gaudí,Antonio Gaudí,1984,Antonio Gaudí 1984,False
Any Number Can Win,Henri Verneuil,France,1962,1960s,2:01,"This ice-cool crime caper bridges two generations of French cinema by bringing together longtime national screen icon Jean Gabin with hotshot rising star Alain Delon. Gabin is the career ex-con determined to pull off one last heist before he retires. Delon is the petty thief he enlists to help him rob a Cannes casino. They’ve got a seemingly perfect plan, until . . . Veteran director Henri Verneuil lends his craftsman’s touch to this jazz-inflected noir that rivals the thrillers of Jean-Pierre Melville for expertly deployed tension.",2.02,https://www.criterionchannel.com/any-number-can-win,Any Number Can Win 1962,Any Number Can Win 1963,tt0057344,7.3,3114,Any Number Can Win,Mélodie en sous-sol,1963,Any Number Can Win 1963,False
Aparajito,Satyajit Ray,India,1956,1950s,1:50,"Satyajit Ray had not planned to make a sequel to PATHER PANCHALI, but after the film’s international success, he decided to continue Apu’s narrative. APARAJITO picks up where the first film leaves off, with Apu and his family having moved away from the country to live in the bustling holy city of Varanasi (then known as Benares). As Apu progresses from wide-eyed child to intellectually curious teenager, eventually studying in Kolkata, we witness his academic and moral education, as well as the growing complexity of his relationship with his mother. This tenderly expressive, often heart-wrenching film, which won three top prizes at the Venice Film Festival, including the Golden Lion, not only extends but also spiritually deepens the tale of Apu.",1.83,https://www.criterionchannel.com/aparajito,Aparajito 1956,Aparajito 1956,tt0048956,8.4,11859,Aparajito,Aparajito,1956,Aparajito 1956,False
Apostasy,Keisuke Kinoshita,Japan,1948,1940s,1:39,"Amidst rumors of his lower class origins that threaten his job, a school teacher pleads for freedom and equality. Keisuke Kinoshita directs.",1.65,https://www.criterionchannel.com/apostasy,Apostasy 1948,Apostasy 1948,tt0040413,6.3,79,Apostasy,Hakai,1948,Apostasy 1948,False
The Arbor,Clio Barnard,United Kingdom,2010,2010s,1:34,"One of the most formally inventive, fascinating, and radical films in recent memory, Clio Barnard’s electrifying debut feature combines documentary, performance, and fiction as actors lip sync to recorded interviews to tell the harrowing life story of Andrea Dunbar, the brilliant but deeply troubled British playwright who won acclaim for works like “The Arbor” and “Rita, Sue and Bob Too.” Tracing her dark upbringing in the notorious Buttershaw estate in Bradford, her turbulent relationship with her family, and her tragic death at the age of twenty-nine, THE ARBOR is both a thrillingly innovative work of creative nonfiction and a deeply affecting account of a brief but remarkable life.",1.57,https://www.criterionchannel.com/the-arbor,The Arbor 2010,The Arbor 2010,tt1623008,7.3,1810,The Arbor,The Arbor,2010,The Arbor 2010,False
Archangel,Guy Maddin,Canada,1990,1990s,1:18,"A film like no other, this weird, wild, and extraordinary photoplay is both melodrama and deadpan parody. With striking black-and-white cinematography and stylized set design, Guy Maddin’s sophomore feature tells a tale of obsessive love in the arctic Russian town of Archangel, where Bolsheviks, White Russians, and Germans converge during World War I. Amnesia, doppelgängers, and a flood of rabbits all feature in Maddin’s feverish, eerily beautiful vision.",1.3,https://www.criterionchannel.com/archangel,Archangel 1990,Archangel 1990,tt0099053,6.5,1273,Archangel,Archangel,1990,Archangel 1990,False
Ariel,Aki Kaurismäki,Finland,1988,1980s,1:12,"In Kaurismäki's drolly existential crime drama, a coal miner named Taisto (Turo Pajala) attempts to leave behind a provincial life of inertia and economic despair, only to get into ever deeper trouble. Yet a minor-key romance with a hilariously dispassionate meter maid (Susanna Haavisto) might provide a light at the end of a very dark tunnel. Ariel, which boasts a terrific soundtrack of Finnish tango and Baltic pop music and lovely cinematography by Kaurismäki's longtime cameraman Timo Salmimen, put its director on the international map.",1.2,https://www.criterionchannel.com/ariel,Ariel 1988,Ariel 1988,tt0094675,7.5,6261,Ariel,Ariel,1988,Ariel 1988,False
Army,Keisuke Kinoshita,Japan,1944,1940s,1:27,"Kinoshita's ambitious and intensely moving film begins as a multigenerational epic about the military legacy of one Japanese family, before settling into an emotionally complex portrayal of parental love during wartime. As the mother and father of a boy shipped off to battle, Kinuyo Tanaka and Chishu Ryu locate profound depths of feeling that transcend ideology.",1.45,https://www.criterionchannel.com/army,Army 1944,Army 1944,tt0037227,6.6,290,Army,Rikugun,1944,Army 1944,False
The Ascent,Larisa Shepitko,Soviet Union,1977,1970s,1:49,"Shepitko's emotionally overwhelming final film won the Golden Bear at the 1977 Berlin Film Festival and has been hailed around the world as the finest Soviet film of its decade. Set during World War II's darkest days, THE ASCENT follows the path of two peasant soldiers, cut off from their troop, who trudge through the snowy backwoods of Belarus seeking refuge among villagers. Their harrowing trek leads them on a journey of betrayal, heroism, and ultimate transcendence.",1.82,https://www.criterionchannel.com/the-ascent,The Ascent 1977,The Ascent 1977,tt0075404,8.3,6939,The Ascent,Voskhozhdenie,1977,The Ascent 1977,False
Ashes and Diamonds,Andrzej Wajda,Poland,1958,1950s,1:42,"On the last day of World War II in a small town somewhere in Poland, Polish exiles of war and the occupying Soviet forces confront the beginning of a new day and a new Poland. In this incendiary environment we find Home Army soldier Maciek Chelmicki, who has been ordered to assassinate an incoming commissar. But a mistake stalls his progress and leads him to Krystyna, a beautiful barmaid who gives him a glimpse of what his life could be. Gorgeously photographed and brilliantly performed, ASHES AND DIAMONDS masterfully interweaves the fate of a nation with that of one man, resulting in one of the most important Polish films of all time.",1.7,https://www.criterionchannel.com/ashes-and-diamonds,Ashes and Diamonds 1958,Ashes and Diamonds 1958,tt0052080,7.8,10769,Ashes and Diamonds,Popiól i diament,1958,Ashes and Diamonds 1958,False
Assassin,Masahiro Shinoda,Japan,1964,1960s,1:44,"Masahiro Shinoda's Assassin (aka Ansatsu) was the director's first period film - but it is hardly set in the ""safety"" of a past era, as its story, of a masterless samurai (Tetsuro Tamba) making his way amid the chaotic aftermath of Commodore Perry's forcible contact with Japan in 1853, seems to resonate clearly in Japan's post-World War II era. Shinoda presents a stark picture of social and political upheaval, spreading duplicity and dishonor, and the consequences of up-ending the established order in a society built on expectations of a rigid social order.",1.73,https://www.criterionchannel.com/assassin-1,Assassin 1964,Assassin 1969,tt0307956,6.1,27,Assassin,Amsalja,1969,Assassin 1969,False
Assassin(s),Mathieu Kassovitz,France,1997,1990s,2:13,"To pass on knowledge acquired during a lifetime of experience is a clear way to leave your legacy. A professional killer, Wagner, learns that he is dying and seeks an apprentice to bestow his lethal wisdom upon. In finding an ideal candidate in Max, a petty thief, Wagner ensures the deadly trade of an assassin will continue.",2.22,https://www.criterionchannel.com/assassin-s,Assassin(s) 1997,Assassin(s) 1997,tt0118644,6.5,1975,Assassin(s),Assassin(s),1997,Assassin(s) 1997,False
A Tale of Two Sisters,Kim Jee-woon,South Korea,2003,2000s,1:49,"Inspired by a popular Korean folktale, Kim Jee-woon’s dreamily disturbing, spectrally beautiful psychological puzzle helped to popularize K-horror abroad when it became the first of its genre to be distributed in the United States. Following an extended stay at a mental institution, disturbed sisters Su-mi (Lim Soo-jung) and Su-yeon (Moon Geun-young) return home. But it’s far from a happy family reunion, as the girls’ relationship with their icy stepmother (Yum Jung-ah) has taken a dark turn. A series of disturbing and unexplainable events roil the household. Could it be their stepmother trying to torment them, or is a more sinister supernatural force at work?",1.82,https://www.criterionchannel.com/a-tale-of-two-sisters,A Tale of Two Sisters 2003,A Tale of Two Sisters 2003,tt0365376,7.2,57285,A Tale of Two Sisters,"Janghwa, Hongryeon",2003,A Tale of Two Sisters 2003,False
